Open,High,Low,Close,Adj Close,Volume
1937.9000244140625,1937.9000244140625,1937.4000244140625,1937.4000244140625,1937.4000244140625,0
1937.4000244140625,1937.4000244140625,1937.199951171875,1937.300048828125,1937.300048828125,23
1937.4000244140625,1937.5,1937.300048828125,1937.4000244140625,1937.4000244140625,24
1937.5,1937.5,1937.4000244140625,1937.4000244140625,1937.4000244140625,7
1937.4000244140625,1937.4000244140625,1937.300048828125,1937.300048828125,1937.300048828125,6
1937.300048828125,1937.300048828125,1937.300048828125,1937.300048828125,1937.300048828125,6
1937.300048828125,1937.300048828125,1936.9000244140625,1937.0999755859375,1937.0999755859375,27
1937.0999755859375,1937.4000244140625,1937.0999755859375,1937.300048828125,1937.300048828125,15
1937.4000244140625,1937.4000244140625,1937.0999755859375,1937.4000244140625,1937.4000244140625,174
1937.300048828125,1937.699951171875,1937.199951171875,1937.5,1937.5,26
1937.5999755859375,1937.699951171875,1937.5999755859375,1937.699951171875,1937.699951171875,6
1937.5999755859375,1937.5999755859375,1937.5,1937.5999755859375,1937.5999755859375,6
1937.699951171875,1937.699951171875,1937.5999755859375,1937.5999755859375,1937.5999755859375,6
1937.4000244140625,1937.4000244140625,1937.0,1937.0999755859375,1937.0999755859375,9
1937.0999755859375,1937.300048828125,1936.5999755859375,1936.800048828125,1936.800048828125,36
1936.800048828125,1937.199951171875,1936.199951171875,1936.5999755859375,1936.5999755859375,84
1936.4000244140625,1936.5999755859375,1935.9000244140625,1936.0999755859375,1936.0999755859375,56
1936.300048828125,1936.699951171875,1936.0999755859375,1936.699951171875,1936.699951171875,28
1936.5,1936.5,1936.199951171875,1936.300048828125,1936.300048828125,7
1936.199951171875,1936.4000244140625,1936.0,1936.199951171875,1936.199951171875,20
1936.0,1936.0999755859375,1935.5999755859375,1936.0999755859375,1936.0999755859375,58
1935.5999755859375,1935.9000244140625,1935.5999755859375,1935.800048828125,1935.800048828125,46
1935.9000244140625,1935.9000244140625,1935.9000244140625,1935.9000244140625,1935.9000244140625,6
1935.699951171875,1936.0,1935.5999755859375,1935.9000244140625,1935.9000244140625,10
1936.0,1936.300048828125,1936.0,1936.0999755859375,1936.0999755859375,8
1936.199951171875,1936.199951171875,1936.0999755859375,1936.199951171875,1936.199951171875,4
1936.199951171875,1936.9000244140625,1936.199951171875,1936.9000244140625,1936.9000244140625,16
1936.800048828125,1936.9000244140625,1936.5999755859375,1936.5999755859375,1936.5999755859375,16
1936.800048828125,1937.199951171875,1936.699951171875,1937.0999755859375,1937.0999755859375,33
1937.199951171875,1937.199951171875,1936.699951171875,1936.699951171875,1936.699951171875,32
1936.5999755859375,1936.5999755859375,1936.300048828125,1936.300048828125,1936.300048828125,3
1936.4000244140625,1936.4000244140625,1936.0999755859375,1936.0999755859375,1936.0999755859375,14
1936.300048828125,1936.4000244140625,1936.300048828125,1936.4000244140625,1936.4000244140625,9
1936.4000244140625,1936.5999755859375,1936.199951171875,1936.199951171875,1936.199951171875,11
1936.0,1936.4000244140625,1936.0,1936.0,1936.0,14
1936.0,1936.0,1935.800048828125,1935.9000244140625,1935.9000244140625,4
1935.800048828125,1935.9000244140625,1935.699951171875,1935.9000244140625,1935.9000244140625,16
1936.0,1936.300048828125,1936.0,1936.300048828125,1936.300048828125,13
1936.199951171875,1936.4000244140625,1935.699951171875,1936.199951171875,1936.199951171875,67
1936.4000244140625,1936.4000244140625,1936.199951171875,1936.300048828125,1936.300048828125,7
1935.9000244140625,1936.4000244140625,1935.800048828125,1936.0,1936.0,43
1936.0,1936.0999755859375,1936.0,1936.0999755859375,1936.0999755859375,2
1936.0999755859375,1936.0999755859375,1935.199951171875,1935.5999755859375,1935.5999755859375,46
1935.5999755859375,1935.699951171875,1935.5,1935.5999755859375,1935.5999755859375,18
1935.800048828125,1935.9000244140625,1935.800048828125,1935.800048828125,1935.800048828125,5
1935.5,1935.5,1935.5,1935.5,1935.5,1
1935.5,1935.699951171875,1935.4000244140625,1935.5,1935.5,16
1935.5,1935.5,1935.199951171875,1935.199951171875,1935.199951171875,13
1935.4000244140625,1935.4000244140625,1935.199951171875,1935.199951171875,1935.199951171875,16
1935.199951171875,1935.4000244140625,1935.0999755859375,1935.4000244140625,1935.4000244140625,22
1935.4000244140625,1935.4000244140625,1935.0,1935.0,1935.0,16
1934.9000244140625,1935.0,1934.5999755859375,1934.5999755859375,1934.5999755859375,41
1934.800048828125,1934.9000244140625,1934.699951171875,1934.699951171875,1934.699951171875,16
1934.699951171875,1934.800048828125,1934.5,1934.800048828125,1934.800048828125,21
1934.699951171875,1935.0999755859375,1934.5999755859375,1935.0,1935.0,34
1935.0,1935.0999755859375,1934.800048828125,1935.0,1935.0,15
1934.9000244140625,1935.4000244140625,1934.9000244140625,1935.4000244140625,1935.4000244140625,35
1935.300048828125,1935.5999755859375,1935.199951171875,1935.5999755859375,1935.5999755859375,23
1935.5,1936.0999755859375,1935.5,1936.0999755859375,1936.0999755859375,23
1935.9000244140625,1936.199951171875,1935.9000244140625,1936.0,1936.0,20
1936.0,1936.0,1935.9000244140625,1935.9000244140625,1935.9000244140625,6
1935.9000244140625,1935.9000244140625,1935.5999755859375,1935.699951171875,1935.699951171875,17
1935.699951171875,1935.9000244140625,1935.5999755859375,1935.5999755859375,1935.5999755859375,12
1935.9000244140625,1936.4000244140625,1935.9000244140625,1936.300048828125,1936.300048828125,26
1936.300048828125,1936.5,1936.199951171875,1936.4000244140625,1936.4000244140625,41
1936.300048828125,1936.5999755859375,1936.300048828125,1936.5999755859375,1936.5999755859375,21
